variant,variant_label,condition,metric,point_estimate,bootstrap_median,ci95_low,ci95_high,valid_replicates,replicates,valid_rate,ci_available
temporal_control,C0 temporal control,clean_val,delta_pd_at_fixed_fa,0.0,0.0,-0.0006666666666666673,0.0,10000,10000,1.0,True
temporal_control,C0 temporal control,clean_val,delta_fa_at_fixed_pd,3.381164145241704e-06,2.1729041593886174e-06,-1.2684868549689773e-06,6.12457096958931e-06,10000,10000,1.0,True
temporal_control,C0 temporal control,clean_val,fa_at_fixed_pd_relative_reduction,-0.20716951162529537,-0.15757365309680355,-0.2660132322310457,0.08844054727849869,10000,10000,1.0,True
temporal_control,C0 temporal control,clean_val,delta_low_fa_pauc,0.012237094721588515,0.0120382861631055,0.0039116073395749655,0.02374826555593209,10000,10000,1.0,True
temporal_control,C0 temporal control,noise8_val,delta_pd_at_fixed_fa,0.010737628384687245,0.00977777777777781,-0.0028011204481792626,0.022889010989010986,10000,10000,1.0,True
temporal_control,C0 temporal control,noise8_val,delta_fa_at_fixed_pd,-0.002436154088140269,-0.008297969655510556,-0.028639047693124805,0.010486909277907967,10000,10000,1.0,True
temporal_control,C0 temporal control,noise8_val,fa_at_fixed_pd_relative_reduction,0.010532135853850997,0.03254078637438598,-0.05354593041479578,0.12866292973550225,10000,10000,1.0,True
temporal_control,C0 temporal control,noise8_val,delta_low_fa_pauc,8.714677625596571e-05,8.63646106790508e-05,5.6516264306038114e-05,0.00012497690617941352,10000,10000,1.0,True
center_multiscale,C1 center multiscale,clean_val,delta_pd_at_fixed_fa,-0.00046685340802987696,-0.00045787545787545625,-0.006108202443280993,0.0,10000,10000,1.0,True
center_multiscale,C1 center multiscale,clean_val,delta_fa_at_fixed_pd,0.0004253444914729126,0.0003716917820145442,1.6143301089798955e-06,0.0006149818524210371,10000,10000,1.0,True
center_multiscale,C1 center multiscale,clean_val,fa_at_fixed_pd_relative_reduction,-26.43397743062799,-19.520475446727094,-42.957747642788284,-0.1645201433068857,10000,10000,1.0,True
center_multiscale,C1 center multiscale,clean_val,delta_low_fa_pauc,0.04964897639886123,0.04787517749193447,0.021228121488093717,0.09662131753127398,10000,10000,1.0,True
center_multiscale,C1 center multiscale,noise8_val,delta_pd_at_fixed_fa,-0.13165266106442575,-0.13176265270506105,-0.1758988095238095,-0.08312475458115184,10000,10000,1.0,True
center_multiscale,C1 center multiscale,noise8_val,delta_fa_at_fixed_pd,0.001263229735655504,0.0017998220664586877,-0.005488171399068435,0.009129132277625079,10000,10000,1.0,True
center_multiscale,C1 center multiscale,noise8_val,fa_at_fixed_pd_relative_reduction,-0.002676555059140192,-0.004985303073082013,-0.03524623241566986,0.030016206298819216,10000,10000,1.0,True
center_multiscale,C1 center multiscale,noise8_val,delta_low_fa_pauc,9.18927347060813e-05,9.191637155745823e-05,6.8759517956102e-05,0.00012538403552037723,10000,10000,1.0,True
center_ring,C2 center+ring,clean_val,delta_pd_at_fixed_fa,0.0,0.0,0.0,0.0,10000,10000,1.0,True
center_ring,C2 center+ring,clean_val,delta_fa_at_fixed_pd,4.224220932116949e-06,4.094592391794812e-06,-9.128471158433079e-07,7.743660036029628e-06,10000,10000,1.0,True
center_ring,C2 center+ring,clean_val,fa_at_fixed_pd_relative_reduction,-0.25927122597986624,-0.2520901316394947,-0.3994687677376949,0.09021820876907728,10000,10000,1.0,True
center_ring,C2 center+ring,clean_val,delta_low_fa_pauc,0.047880549513444226,0.046077674611378606,0.020359712377634915,0.09316488343610353,10000,10000,1.0,True
center_ring,C2 center+ring,noise8_val,delta_pd_at_fixed_fa,0.03267973856209153,0.032888888888888856,0.018207282913165274,0.04786176801801798,10000,10000,1.0,True
center_ring,C2 center+ring,noise8_val,delta_fa_at_fixed_pd,-0.03836026348652541,-0.036464335345923846,-0.039342312898960875,-0.030018583358974036,10000,10000,1.0,True
center_ring,C2 center+ring,noise8_val,fa_at_fixed_pd_relative_reduction,0.17070037737396984,0.1606894218760369,0.1295592379537307,0.18253356413426605,10000,10000,1.0,True
center_ring,C2 center+ring,noise8_val,delta_low_fa_pauc,8.694545063058888e-05,8.692421760010327e-05,6.542916271484702e-05,0.00011613034807695534,10000,10000,1.0,True
