run_id,variant,variant_label,seed,gpu,condition,baseline_target_fa,baseline_target_pd,pd_at_fixed_fa,fa_at_fixed_pd,low_fa_pauc,pd_at_0_5,fa_at_0_5,auc,auc_dense_grid,pixel_iou_at_0_5,pixel_f1_at_0_5,elapsed_seconds,cuda_peak_allocated_gib,cuda_peak_reserved_gib,parameters_m,checkpoint_epoch,pd_fixed_selected_threshold,pd_fixed_selected_is_endpoint,pd_fixed_plateau_threshold_min,pd_fixed_plateau_threshold_max,pd_fixed_plateau_points,fa_fixed_selected_threshold,fa_fixed_selected_is_endpoint,fa_fixed_plateau_threshold_min,fa_fixed_plateau_threshold_max,fa_fixed_plateau_points,low_fa_internal_unique_points,low_fa_empirical_points_at_or_below_cap,low_fa_min_empirical_fa,low_fa_max_empirical_fa_below_cap,low_fa_cap_empirically_bracketed,low_fa_origin_interpolation_only,low_fa_support,delta_pd_at_fixed_fa,delta_fa_at_fixed_pd,delta_low_fa_pauc,delta_pd_at_0_5,delta_fa_at_0_5,delta_auc,delta_auc_dense_grid,delta_pixel_iou_at_0_5,delta_pixel_f1_at_0_5,delta_elapsed_seconds,delta_cuda_peak_allocated_gib,delta_cuda_peak_reserved_gib,delta_parameters_m,fa_at_fixed_pd_relative_reduction,latency_ratio
b1_none_seed47,none,B1 DeepPro-Plus,47,0,clean_val,2.34596190694083e-05,1.0,1.0,1.5943603969456915e-05,0.8405639603054308,1.0,2.34596190694083e-05,0.9989503317413563,0.9989503317413561,0.9577109194193141,0.9783987103707684,8.547550439834595,1.4956417083740234,1.603515625,0.070913,32,0.5,False,0.5,1.0,51,1.0,True,1.0,1.0,1,102,102,1.5943603969456915e-05,4.6758372179483516e-05,True,False,empirical-internal-support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b1_none_seed47,none,B1 DeepPro-Plus,47,0,noise8_val,0.2188744834415306,0.9411764705882353,0.9411764705882353,0.21719821546029114,0.00021696391128453267,0.9411764705882353,0.2188744834415306,0.8886200244948589,0.8886485378954038,0.000833365069906336,0.0016653423017089905,7.797985553741455,1.4956417083740234,1.603515625,0.070913,32,0.5,False,0.5,0.55,6,0.55,False,0.55,0.55,1,0,0,0.08537092115423113,nan,False,True,origin-interpolation-only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b1_none_seed49,none,B1 DeepPro-Plus,49,1,clean_val,2.0841078731375297e-05,1.0,1.0,1.693561071867761e-05,0.8306438928132238,1.0,2.0841078731375297e-05,0.9989493397346069,0.9989493397346069,0.9727008753523664,0.9861615488750887,8.413837671279907,1.4956417083740234,1.603515625,0.070913,32,0.5,False,0.5,1.0,51,1.0,True,1.0,1.0,1,66,66,1.693561071867761e-05,3.0189178368175707e-05,True,False,empirical-internal-support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b1_none_seed49,none,B1 DeepPro-Plus,49,1,noise8_val,0.27019903587668376,0.9446778711484594,0.9446778711484594,0.27019903587668376,0.00019275311025145905,0.9446778711484594,0.27019903587668376,0.874471382175518,0.8744947619592852,0.0007319839110748304,0.001462897005078384,7.700613021850586,1.4956417083740234,1.603515625,0.070913,32,0.5,False,0.5,0.5,1,0.5,False,0.5,0.5,1,0,0,0.08946365501758802,nan,False,True,origin-interpolation-only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b1_none_seed51,none,B1 DeepPro-Plus,51,2,clean_val,2.110025166585638e-05,1.0,1.0,1.6301083879085994e-05,0.8369891612091401,1.0,2.110025166585638e-05,0.9989499742614465,0.9989499742614465,0.9711701766304348,0.9853742595584276,8.341294527053833,1.4956417083740234,1.603515625,0.070913,32,0.5,False,0.5,1.0,51,1.0,True,1.0,1.0,1,96,96,1.6301083879085994e-05,3.882231818571796e-05,True,False,empirical-internal-support,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b1_none_seed51,none,B1 DeepPro-Plus,51,2,noise8_val,0.18111922491205995,0.9110644257703081,0.9110644257703081,0.1807902987102125,0.00031595202890956955,0.9110644257703081,0.18111922491205995,0.9137362404781172,0.9137324837316351,0.0009700298369291087,0.001938179581834511,7.849814176559448,1.4956417083740234,1.603515625,0.070913,32,0.5,False,0.5,0.51,2,0.51,False,0.51,0.51,1,0,0,0.052528982683673175,nan,False,True,origin-interpolation-only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
c0_temporal_control_seed47,temporal_control,C0 temporal control,47,0,clean_val,2.34596190694083e-05,1.0,1.0,2.0072496925672777e-05,0.8387635432815846,1.0,2.189564446478108e-05,0.9989501770274059,0.9989501770274056,0.9636644190323195,0.9814960333265159,8.560173988342285,1.4956440925598145,1.603515625,0.071233,32,0.01,False,0.01,0.99,99,0.99,False,0.99,0.99,1,92,92,1.6095532931049274e-05,3.544413303972317e-05,True,False,empirical-internal-support,0.0,4.128892956215862e-06,-0.0018004170238461459,0.0,-1.5639746046272181e-06,-1.5471395042876424e-07,-1.5471395042876424e-07,0.005953499613005397,0.0030973229557474946,0.01262354850769043,2.384185791015625e-06,0.0,0.00032000000000000084,-0.25896860986547093,1.001476861540221
c0_temporal_control_seed47,temporal_control,C0 temporal control,47,0,noise8_val,0.2188744834415306,0.9411764705882353,0.9404761904761905,0.2575270612291589,0.0003009092612176217,0.8900560224089635,0.1539162639059685,0.9115104724290264,0.911491209425079,0.0010272963598082496,0.002052484210058942,8.369135856628418,1.4956440925598145,1.603515625,0.071233,32,0.001,False,0.001,0.001,1,0.0001,False,0.0001,0.0001,1,0,0,0.05160596062001316,nan,False,True,origin-interpolation-only,-0.0007002801120448154,0.04032884576886778,8.394534993308905e-05,-0.05112044817927175,-0.0649582195355621,0.0228904479341675,0.02284267152967523,0.00019393128990191362,0.0003871419083499514,0.5711503028869629,2.384185791015625e-06,0.0,0.00032000000000000084,-0.18567761104022892,1.0732433137956925
c0_temporal_control_seed49,temporal_control,C0 temporal control,49,1,clean_val,2.0841078731375297e-05,1.0,1.0,1.973289101152515e-05,0.8448942736645091,1.0,2.0724897760745847e-05,0.998950777108002,0.9989507771080022,0.9706162542075069,0.9850890574307629,8.424226760864258,1.4956440925598145,1.603515625,0.071233,32,0.39,False,0.39,0.99,61,0.99,False,0.99,0.99,1,85,85,1.549675408242057e-05,3.2351931821431636e-05,True,False,empirical-internal-support,0.0,2.79728029284754e-06,0.014250380851285271,0.0,-1.1618097062944971e-07,1.4373733950856504e-06,1.437373395307695e-06,-0.002084621144859522,-0.0010724914443257516,0.010389089584350586,2.384185791015625e-06,0.0,0.00032000000000000084,-0.16517150395778352,1.0012347623035103
c0_temporal_control_seed49,temporal_control,C0 temporal control,49,1,noise8_val,0.27019903587668376,0.9446778711484594,0.9572829131652661,0.24494583285669344,0.00030289614724724406,0.8669467787114846,0.1533366906654846,0.9125446801290548,0.912512381356098,0.0009597214977789775,0.0019176026310887017,7.9875404834747314,1.4956440925598145,1.603515625,0.071233,32,0.0001,False,0.0001,0.0001,1,0.0001,False,0.0001,0.0001,1,0,0,0.0446783931993022,nan,False,True,origin-interpolation-only,0.012605042016806789,-0.025253203019990317,0.00011014303699578501,-0.07773109243697474,-0.11686234521119915,0.038073297953536756,0.03801761939681281,0.00022773758670414706,0.0004547056260103177,0.2869274616241455,2.384185791015625e-06,0.0,0.00032000000000000084,0.09346148456101686,1.037260340288492
