run_id,variant,variant_label,seed,pd_at_fixed_fa,fa_at_fixed_pd,auc,pd_at_0_5,fa_at_0_5,pixel_f1_at_0_5,elapsed_seconds,delta_pd_at_fixed_fa,delta_fa_at_fixed_pd,delta_auc,delta_pd_at_0_5,delta_fa_at_0_5,delta_pixel_f1_at_0_5,delta_elapsed_seconds,fa_at_fixed_pd_relative_reduction,latency_ratio
b1_none_seed47,none,B1 DeepPro-Plus,47,0.7492997198879552,8.740383790430977e-06,0.9308282004832097,0.7492997198879552,8.829753767838248e-06,0.6574687177421386,8.378351926803589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b1_none_seed49,none,B1 DeepPro-Plus,49,0.8165266106442577,1.7284153630565964e-05,0.9565126953538838,0.8165266106442577,1.7605885549232134e-05,0.6723990476850888,8.327876091003418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
b1_none_seed51,none,B1 DeepPro-Plus,51,0.7787114845938375,1.2297308891240312e-05,0.9365225494046248,0.7787114845938375,1.2315182886721766e-05,0.6616017573455344,8.488141059875488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
c0_temporal_control_seed47,temporal_control,C0 temporal control,47,0.7633053221288515,7.122787199359396e-06,0.9142293883192306,0.7619047619047619,8.668887808505163e-06,0.6567994236384089,8.599302768707275,0.014005602240896309,-1.6175965910715815e-06,-0.01659881216397907,0.012605042016806678,-1.60865959333085e-07,-0.000669294103729623,0.22095084190368652,0.18507157464212676,1.02637163535669
c0_temporal_control_seed49,temporal_control,C0 temporal control,49,0.8004201680672269,4.4104083850487605e-05,0.9599829675436431,0.7976190476190477,1.5943603969456915e-05,0.6665177154011689,8.827857971191406,-0.016106442577030755,2.681993021992164e-05,0.0034702721897592603,-0.018907563025210017,-1.6622815797752185e-06,-0.00588133228391996,0.4999818801879883,-1.5517063081695965,1.0600371420905406
c0_temporal_control_seed51,temporal_control,C0 temporal control,51,0.6995798319327731,1.4129393428089342e-05,0.9732137755544064,0.842436974789916,2.575642748877513e-05,0.6745684882812956,8.805838823318481,-0.07913165266106448,1.8320845368490298e-06,0.0366912261497816,0.06372549019607843,1.3441244602053365e-05,0.012966730935761173,0.31769776344299316,-0.14898255813953495,1.0374284264601574
c1_center_multiscale_seed47,center_multiscale,C1 center multiscale,47,0.7976190476190477,6.336331398175423e-06,0.9778951193648449,0.803921568627451,1.2047072954499956e-05,0.6814862173260875,8.571278810501099,0.04831932773109249,-2.4040523922555546e-06,0.04706691888163517,0.054621848739495826,3.2173191866617085e-06,0.024017499583948942,0.19292688369750977,0.2750511247443762,1.0230268297850211
c1_center_multiscale_seed49,center_multiscale,C1 center multiscale,49,0.7983193277310925,3.2146380873394916e-05,0.9748607874161405,0.8053221288515406,2.3093202162038494e-05,0.675262123570106,8.35801362991333,-0.0182072829131652,1.4862227242828952e-05,0.018348092062256627,-0.011204481792717047,5.48731661280636e-06,0.002863075885017108,0.03013753890991211,-0.8598759048603929,1.0036188745582406
c1_center_multiscale_seed51,center_multiscale,C1 center multiscale,51,0.7843137254901961,1.0277547401836016e-05,0.9701587079998157,0.7934173669467787,1.6149154917493636e-05,0.6732680380277305,8.191583633422852,0.0056022408963585235,-2.0197614894042957e-06,0.03363615859519098,0.014705882352941124,3.833972030771869e-06,0.011666280682196106,-0.2965574264526367,0.16424418604651164,0.9650621467809364
c2_center_ring_seed47,center_ring,C2 center+ring,47,0.7703081232492998,6.121843452397975e-06,0.9764859599120878,0.7745098039215687,1.0259673406354563e-05,0.6676943853435425,8.59687352180481,0.021008403361344574,-2.618540338033002e-06,0.045657759428878064,0.025210084033613467,1.4299196385163156e-06,0.010225667601403976,0.2185215950012207,0.29959100204498973,1.0260816920690736
c2_center_ring_seed49,center_ring,C2 center+ring,49,0.7948179271708683,4.457774473074613e-05,0.9674595318504435,0.8004201680672269,2.4344381845740268e-05,0.6637592673353685,8.381997346878052,-0.02170868347338939,2.7293591100180167e-05,0.010946836496559698,-0.016106442577030755,6.738496296508134e-06,-0.00863978034972035,0.05412125587463379,-1.5791106514994826,1.0064988065724345
c2_center_ring_seed51,center_ring,C2 center+ring,51,0.7689075630252101,1.7221594646380872e-05,0.9729653488652947,0.7745098039215687,1.4513684330940601e-05,0.6696446847193961,8.099173307418823,-0.009803921568627416,4.9242857551405606e-06,0.03644279946066997,-0.004201680672268893,2.198501444218835e-06,0.008042927373861697,-0.38896775245666504,-0.4004360465116279,0.9541751545228949
