run_id	model	structure_variant	loss	log_dir
deeppro	DeepPro	-	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-08-40__F1OHEM-deeppro_seed49_E32
deeppro_plus	DeepPro-Plus	-	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-08-40__F1OHEM-deeppro_plus_seed49_E32
deeppro_tdcr	DeepPro_TDCR	-	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-08-40__F1OHEM-deeppro_tdcr_seed49_E32
deeppro_plus_tdcsta	DeepPro-Plus_TDCSTA	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT__2026-09-03_10-56-40__F1OHEM-deeppro_plus_tdcsta_seed49_E32
deeppro_plus_moving	DeepPro-Plus_forMovingScenes	-	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-28-21__F1OHEM-deeppro_plus_moving_seed49_E32
brtd1	DeepPro-Plus_BRTD	-	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-31-14__F1OHEM-brtd1_seed49_E32
brtd2	DeepPro-Plus_BRTD2	-	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-30-38__F1OHEM-brtd2_seed49_E32
feedbacksts	DeepPro-FeedbackSTS	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT__2026-09-03_10-56-40__F1OHEM-feedbacksts_seed49_E32
pointcenter	DeepPro-Plus_BRTD3_PointCenter	raw_apmd_hybrid_rms	center_consistency_f1	2026-09-03/NUDT-MIRSDT__2026-09-03_10-56-40__CenterConsistencyF1-pointcenter_seed49_E32
brtd3_raw_apmd	DeepPro-Plus_BRTD3	raw_apmd	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-58-07__F1OHEM-brtd3_raw_apmd_seed49_E32
brtd3_raw_apmd_rms	DeepPro-Plus_BRTD3	raw_apmd_rms	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-39-40__F1OHEM-brtd3_raw_apmd_rms_seed49_E32
brtd3_raw_apmd_channel_rms	DeepPro-Plus_BRTD3	raw_apmd_channel_rms	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_10-57-46__F1OHEM-brtd3_raw_apmd_channel_rms_seed49_E32
brtd3_raw_apmd_motion_detrend	DeepPro-Plus_BRTD3	raw_apmd_motion_detrend	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_11-28-04__F1OHEM-brtd3_raw_apmd_motion_detrend_seed49_E32
brtd3_raw_apmd_multiscale_contrast	DeepPro-Plus_BRTD3	raw_apmd_multiscale_contrast	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_11-08-10__F1OHEM-brtd3_raw_apmd_multiscale_contrast_seed49_E32
brtd3_raw_apmd_hybrid_rms	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_11-28-19__F1OHEM-brtd3_raw_apmd_hybrid_rms_seed49_E32
brtd3_raw_apmd_hybrid_rms_scratch_init	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_scratch_init	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_12-07-53__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_init_seed49_E32
brtd3_raw_apmd_hybrid_rms_scratch_bandpass	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_scratch_bandpass	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_11-40-32__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_bandpass_seed49_E32
brtd3_raw_apmd_hybrid_rms_scratch_detail	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_scratch_detail	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_11-56-12__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_detail_seed49_E32
brtd3_raw_apmd_hybrid_rms_motion_detrend	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_motion_detrend	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_13-07-58__F1OHEM-brtd3_raw_apmd_hybrid_rms_motion_detrend_seed49_E32
brtd3_raw_apmd_hybrid_rms_multiscale_contrast	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_multiscale_contrast	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_12-09-54__F1OHEM-brtd3_raw_apmd_hybrid_rms_multiscale_contrast_seed49_E32
brtd3_raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_12-25-29__F1OHEM-brtd3_raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast_seed49_E32
brtd3_second_order	DeepPro-Plus_BRTD3	second_order	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_14-17-59__F1OHEM-brtd3_second_order_seed49_E32
brtd3_lfp_shallow	DeepPro-Plus_BRTD3	lfp_shallow	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_12-39-05__F1OHEM-brtd3_lfp_shallow_seed49_E32
brtd3_lfp_deep	DeepPro-Plus_BRTD3	lfp_deep	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_12-59-08__F1OHEM-brtd3_lfp_deep_seed49_E32
brtd3_global_align	DeepPro-Plus_BRTD3	global_align	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_15-15-19__F1OHEM-brtd3_global_align_seed49_E32
brtd3_local_align	DeepPro-Plus_BRTD3	local_align	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_13-01-44__F1OHEM-brtd3_local_align_seed49_E32
brtd3_multiscale_head	DeepPro-Plus_BRTD3	multiscale_head	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_13-22-25__F1OHEM-brtd3_multiscale_head_seed49_E32
brtd3_bidirectional	DeepPro-Plus_BRTD3	bidirectional	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT__2026-09-03_11-51-29__F1OHEM-brtd3_bidirectional_seed49_E32
brtd3_tdc_dual_stream	DeepPro-Plus_BRTD3	tdc_dual_stream	f1_calibrated_ohem	2026-09-01/NUDT-MIRSDT__2026-09-01_13-26-54__F1OHEM-brtd3_tdc_dual_stream_seed49_E32
