auc_order,run_id,model,structure_variant,status,checkpoint_epoch,low_snr_pd,low_snr_fa,low_snr_auc,all_pd,all_fa,all_auc,parameters_m,pixel_iou,pixel_f1,elapsed_seconds,delta_pd_vs_baseline,delta_fa_vs_baseline,delta_auc_vs_baseline
1,deeppro,DeepPro,-,done,24,97.73156899810964,1.4884601566019766,0.999173664889525,98.84326200115675,2.3165451204792413,0.9989318406727268,0.049129,0.8222764588418017,0.9024716912212346,11.092925548553467,-0.7518796992481072,-0.24412530959699685,3.612846680767223e-05
14,deeppro_plus,DeepPro-Plus,-,done,28,98.67674858223062,1.5930135520210171,0.9990475218018984,99.59514170040485,2.560670430076238,0.9988957122059191,0.070913,0.855973813420622,0.9223985890652557,10.261262893676758,0.0,0.0,0.0
7,deeppro_tdcr,DeepPro_TDCR,-,done,30,94.3289224952741,1.1462854079578442,0.9991618430610016,98.14921920185078,2.1986393981971006,0.9989293575967675,0.049233,0.8334169593577522,0.9091406677613574,12.016916990280151,-1.4459224985540686,-0.36203103187913754,3.364539084838025e-05
27,deeppro_plus_tdcsta,DeepPro-Plus_TDCSTA,-,done,14,47.63705103969754,1.9789106296585666,0.8694180151045103,66.28108733371892,2.4729969442766975,0.9123847345396687,0.150837,0.4716135720686686,0.6409475707752743,101.76561760902405,-33.31405436668594,-0.0876734857995407,-0.08651097766625038
12,deeppro_plus_moving,DeepPro-Plus_forMovingScenes,-,done,20,99.24385633270322,1.4029164694409435,0.9990676369300819,99.71081550028919,2.410265053575302,0.998906803493753,0.129041,0.7312544478229929,0.8447683109118087,12.570592641830444,0.11567379988433402,-0.15040537650093633,1.1091287833941976e-05
3,brtd1,DeepPro-Plus_BRTD,-,done,28,99.4328922495274,1.442836856782759,0.9991778504212158,99.82648930017352,2.6007281434156835,0.9989312072732759,0.071802,0.862926015457424,0.9264200599459025,14.940534353256226,0.23134759976866803,0.0400577133394453,3.5495067356783316e-05
17,brtd2,DeepPro-Plus_BRTD2,-,done,20,99.05482041587902,2.1975222746256513,0.9989693037699381,99.71081550028919,2.8879343900003853,0.9988803134516745,0.072197,0.8535749431606094,0.9210039726854988,11.252377986907959,0.11567379988433402,0.32726395992414714,-1.5398754244611013e-05
29,feedbacksts,DeepPro-FeedbackSTS,-,done,32,3.213610586011342,131.99390928947415,0.7227592708146143,7.518796992481203,52.479383504233645,0.7942445221028922,5.678329,0.006355862522611413,0.012631441340599544,20.86670446395874,-92.07634470792365,49.91871307415741,-0.2046511901030269
19,pointcenter,DeepPro-Plus_BRTD3_PointCenter,raw_apmd_hybrid_rms,done,28,89.03591682419659,1.3858077320087367,0.9985086914416492,96.64545980335454,2.719389671609889,0.9987914192234865,0.084725,0.8594895512161699,0.9244360105750896,30.93112325668335,-2.9496818970503114,0.1587192415336509,-0.00010429298243264107
22,brtd3_raw_apmd,DeepPro-Plus_BRTD3,raw_apmd,done,20,92.43856332703214,1.3173727822799104,0.9981287550934115,97.68652400231348,2.653634557260234,0.9986133144214636,0.073409,0.863038058543559,0.9264846250304131,10.37517261505127,-1.9086176980913763,0.0929641271839956,-0.00028239778445549035
24,brtd3_raw_apmd_rms,DeepPro-Plus_BRTD3,raw_apmd_rms,done,32,97.54253308128544,1.383906761182936,0.9972659332915269,99.24812030075188,2.6354952153706734,0.9983366044436895,0.073377,0.870187246526879,0.9305883655691717,12.23102331161499,-0.34702139965297363,0.07482478529443526,-0.0005591077622295604
6,brtd3_raw_apmd_channel_rms,DeepPro-Plus_BRTD3,raw_apmd_channel_rms,done,26,91.49338374291115,1.3515902571443237,0.999163166355901,97.39733950260266,2.7065409711047845,0.9989294488245956,0.073377,0.8654493945309126,0.9278722832881127,13.803328037261963,-2.19780219780219,0.14587054102854635,3.3736618676449837e-05
25,brtd3_raw_apmd_motion_detrend,DeepPro-Plus_BRTD3,raw_apmd_motion_detrend,done,20,94.89603024574669,1.4485397692601611,0.9965464564946135,98.4384037015616,2.689157435127289,0.9981417193778159,0.073377,0.8637560900029266,0.926898208017735,10.667641878128052,-1.156737998843255,0.12848700505105093,-0.0007539928281031782
