rank,run_id,model,structure_variant,loss,status,evaluations,best_epoch,best_iou,best_precision,best_recall,best_f1,latest_epoch,latest_f1,baseline_run_id,delta_best_iou,delta_best_precision,delta_best_recall,delta_best_f1,delta_latest_f1,elapsed_seconds,log_dir
1,brtd3_raw_apmd_hybrid_rms_multiscale_contrast,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_multiscale_contrast,f1_calibrated_ohem,done,16,20,0.870985,0.905670,0.957881,0.931044,32,0.930698,deeppro_plus,+0.015011,+0.021306,-0.005971,+0.008645,+0.012039,1752,2026-09-01/NUDT-MIRSDT__2026-09-01_12-09-54__F1OHEM-brtd3_raw_apmd_hybrid_rms_multiscale_contrast_seed49_E32
2,brtd3_raw_apmd_rms,DeepPro-Plus_BRTD3,raw_apmd_rms,f1_calibrated_ohem,done,16,32,0.870172,0.895963,0.967979,0.930580,32,0.930580,deeppro_plus,+0.014198,+0.011599,+0.004127,+0.008181,+0.011921,1710,2026-09-01/NUDT-MIRSDT__2026-09-01_10-39-40__F1OHEM-brtd3_raw_apmd_rms_seed49_E32
3,brtd3_raw_apmd_multiscale_contrast,DeepPro-Plus_BRTD3,raw_apmd_multiscale_contrast,f1_calibrated_ohem,done,16,20,0.868163,0.899303,0.961644,0.929430,32,0.927001,deeppro_plus,+0.012189,+0.014939,-0.002208,+0.007031,+0.008342,1942,2026-09-01/NUDT-MIRSDT__2026-09-01_11-08-10__F1OHEM-brtd3_raw_apmd_multiscale_contrast_seed49_E32
4,brtd3_raw_apmd_hybrid_rms_scratch_init,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_scratch_init,f1_calibrated_ohem,done,16,20,0.866147,0.903533,0.954407,0.928273,32,0.926695,deeppro_plus,+0.010173,+0.019169,-0.009445,+0.005874,+0.008036,3606,2026-09-01/NUDT-MIRSDT__2026-09-01_12-07-53__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_init_seed49_E32
5,brtd3_raw_apmd_hybrid_rms_scratch_detail,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_scratch_detail,f1_calibrated_ohem,done,16,30,0.865922,0.890872,0.968670,0.928144,32,0.920008,deeppro_plus,+0.009948,+0.006508,+0.004818,+0.005745,+0.001349,1757,2026-09-01/NUDT-MIRSDT__2026-09-01_11-56-12__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_detail_seed49_E32
6,brtd3_raw_apmd_hybrid_rms,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms,f1_calibrated_ohem,done,16,28,0.865690,0.885829,0.974410,0.928011,32,0.926526,deeppro_plus,+0.009716,+0.001465,+0.010558,+0.005612,+0.007867,1673,2026-09-01/NUDT-MIRSDT__2026-09-01_11-28-19__F1OHEM-brtd3_raw_apmd_hybrid_rms_seed49_E32
7,brtd3_raw_apmd_channel_rms,DeepPro-Plus_BRTD3,raw_apmd_channel_rms,f1_calibrated_ohem,done,16,26,0.865434,0.896259,0.961778,0.927864,32,0.927635,deeppro_plus,+0.009460,+0.011895,-0.002074,+0.005465,+0.008976,1832,2026-09-01/NUDT-MIRSDT__2026-09-01_10-57-46__F1OHEM-brtd3_raw_apmd_channel_rms_seed49_E32
8,brtd3_raw_apmd_hybrid_rms_motion_detrend,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_motion_detrend,f1_calibrated_ohem,done,16,20,0.863940,0.903280,0.952007,0.927004,32,0.924371,deeppro_plus,+0.007966,+0.018916,-0.011845,+0.004605,+0.005712,4200,2026-09-01/NUDT-MIRSDT__2026-09-01_13-07-58__F1OHEM-brtd3_raw_apmd_hybrid_rms_motion_detrend_seed49_E32
9,brtd3_raw_apmd_motion_detrend,DeepPro-Plus_BRTD3,raw_apmd_motion_detrend,f1_calibrated_ohem,done,16,20,0.863776,0.893239,0.963218,0.926909,32,0.844848,deeppro_plus,+0.007802,+0.008875,-0.000634,+0.004510,-0.073811,2388,2026-09-01/NUDT-MIRSDT__2026-09-01_11-28-04__F1OHEM-brtd3_raw_apmd_motion_detrend_seed49_E32
10,brtd3_raw_apmd,DeepPro-Plus_BRTD3,raw_apmd,f1_calibrated_ohem,done,16,20,0.863021,0.903816,0.950299,0.926475,32,0.911768,deeppro_plus,+0.007047,+0.019452,-0.013553,+0.004076,-0.006891,1797,2026-09-01/NUDT-MIRSDT__2026-09-01_10-58-07__F1OHEM-brtd3_raw_apmd_seed49_E32
11,brtd1,DeepPro-Plus_BRTD,-,f1_calibrated_ohem,done,16,28,0.862926,0.884010,0.973105,0.926420,32,0.925885,deeppro_plus,+0.006952,-0.000354,+0.009253,+0.004021,+0.007226,1584,2026-09-01/NUDT-MIRSDT__2026-09-01_10-31-14__F1OHEM-brtd1_seed49_E32
12,brtd3_raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast,f1_calibrated_ohem,done,16,24,0.862767,0.888356,0.967691,0.926328,32,0.916184,deeppro_plus,+0.006793,+0.003992,+0.003839,+0.003929,-0.002475,2019,2026-09-01/NUDT-MIRSDT__2026-09-01_12-25-29__F1OHEM-brtd3_raw_apmd_hybrid_rms_motion_detrend_multiscale_contrast_seed49_E32
13,brtd3_global_align,DeepPro-Plus_BRTD3,global_align,f1_calibrated_ohem,done,16,20,0.860849,0.881609,0.973374,0.925222,32,0.914915,deeppro_plus,+0.004875,-0.002755,+0.009522,+0.002823,-0.003744,3138,2026-09-01/NUDT-MIRSDT__2026-09-01_15-15-19__F1OHEM-brtd3_global_align_seed49_E32
14,brtd3_raw_apmd_hybrid_rms_scratch_bandpass,DeepPro-Plus_BRTD3,raw_apmd_hybrid_rms_scratch_bandpass,f1_calibrated_ohem,done,16,20,0.859957,0.903582,0.946843,0.924707,32,0.920084,deeppro_plus,+0.003983,+0.019218,-0.017009,+0.002308,+0.001425,1762,2026-09-01/NUDT-MIRSDT__2026-09-01_11-40-32__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_bandpass_seed49_E32
15,pointcenter,DeepPro-Plus_BRTD3_PointCenter,raw_apmd_hybrid_rms,center_consistency_f1,done,16,28,0.859536,0.888657,0.963276,0.924463,32,0.924110,deeppro_plus,+0.003562,+0.004293,-0.000576,+0.002064,+0.005451,3290,2026-09-03/NUDT-MIRSDT__2026-09-03_10-56-40__CenterConsistencyF1-pointcenter_seed49_E32
16,brtd3_tdc_dual_stream,DeepPro-Plus_BRTD3,tdc_dual_stream,f1_calibrated_ohem,done,16,24,0.857215,0.874330,0.977674,0.923119,32,0.914974,deeppro_plus,+0.001241,-0.010034,+0.013822,+0.000720,-0.003685,1824,2026-09-01/NUDT-MIRSDT__2026-09-01_13-26-54__F1OHEM-brtd3_tdc_dual_stream_seed49_E32
17,deeppro_plus,DeepPro-Plus,-,f1_calibrated_ohem,done,16,28,0.855974,0.884364,0.963852,0.922399,32,0.918659,deeppro_plus,+0.000000,+0.000000,+0.000000,+0.000000,+0.000000,1181,2026-09-01/NUDT-MIRSDT__2026-09-01_10-08-40__F1OHEM-deeppro_plus_seed49_E32
18,brtd3_second_order,DeepPro-Plus_BRTD3,second_order,f1_calibrated_ohem,done,16,20,0.855854,0.879887,0.969073,0.922329,32,0.917193,deeppro_plus,-0.000120,-0.004477,+0.005221,-0.000070,-0.001466,3441,2026-09-01/NUDT-MIRSDT__2026-09-01_14-17-59__F1OHEM-brtd3_second_order_seed49_E32
19,brtd3_lfp_deep,DeepPro-Plus_BRTD3,lfp_deep,f1_calibrated_ohem,done,16,20,0.855630,0.878200,0.970839,0.922199,32,0.914257,deeppro_plus,-0.000344,-0.006164,+0.006987,-0.000200,-0.004402,1396,2026-09-01/NUDT-MIRSDT__2026-09-01_12-59-08__F1OHEM-brtd3_lfp_deep_seed49_E32
20,brtd2,DeepPro-Plus_BRTD2,-,f1_calibrated_ohem,done,16,20,0.853575,0.880203,0.965771,0.921004,32,0.919497,deeppro_plus,-0.002399,-0.004161,+0.001919,-0.001395,+0.000838,1650,2026-09-01/NUDT-MIRSDT__2026-09-01_10-30-38__F1OHEM-brtd2_seed49_E32
21,brtd3_local_align,DeepPro-Plus_BRTD3,local_align,f1_calibrated_ohem,done,16,32,0.851179,0.869556,0.975773,0.919607,32,0.919607,deeppro_plus,-0.004795,-0.014808,+0.011921,-0.002792,+0.000948,1510,2026-09-01/NUDT-MIRSDT__2026-09-01_13-01-44__F1OHEM-brtd3_local_align_seed49_E32
22,brtd3_multiscale_head,DeepPro-Plus_BRTD3,multiscale_head,f1_calibrated_ohem,done,16,30,0.850065,0.867983,0.976291,0.918957,32,0.911493,deeppro_plus,-0.005909,-0.016381,+0.012439,-0.003442,-0.007166,1543,2026-09-01/NUDT-MIRSDT__2026-09-01_13-22-25__F1OHEM-brtd3_multiscale_head_seed49_E32
23,brtd3_bidirectional,DeepPro-Plus_BRTD3,bidirectional,f1_calibrated_ohem,done,16,10,0.841359,0.863857,0.969976,0.913846,32,0.913202,deeppro_plus,-0.014615,-0.020507,+0.006124,-0.008553,-0.005457,1857,2026-09-03/NUDT-MIRSDT__2026-09-03_11-51-29__F1OHEM-brtd3_bidirectional_seed49_E32
24,deeppro_tdcr,DeepPro_TDCR,-,f1_calibrated_ohem,done,16,30,0.833417,0.894088,0.924709,0.909141,32,0.906851,deeppro_plus,-0.022557,+0.009724,-0.039143,-0.013258,-0.011808,1355,2026-09-01/NUDT-MIRSDT__2026-09-01_10-08-40__F1OHEM-deeppro_tdcr_seed49_E32
