run_id	model	structure_variant	loss	log_dir
deeppro	DeepPro	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_14-58-04__F1OHEM-deeppro_seed49_E32
deeppro_plus	DeepPro-Plus	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_14-58-04__F1OHEM-deeppro_plus_seed49_E32
deeppro_tdcr	DeepPro_TDCR	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_14-58-04__F1OHEM-deeppro_tdcr_seed49_E32
deeppro_plus_tdcsta	DeepPro-Plus_TDCSTA	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_15-19-27__F1OHEM-deeppro_plus_tdcsta_seed49_E32
deeppro_plus_moving	DeepPro-Plus_forMovingScenes	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_15-17-44__F1OHEM-deeppro_plus_moving_seed49_E32
brtd1	DeepPro-Plus_BRTD	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_15-20-38__F1OHEM-brtd1_seed49_E32
brtd2	DeepPro-Plus_BRTD2	-	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_09-55-33__F1OHEM-brtd2_seed49_E32
feedbacksts	DeepPro-FeedbackSTS	-	f1_calibrated_ohem	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_15-27-58__F1OHEM-feedbacksts_seed49_E32
pointcenter	DeepPro-Plus_BRTD3_PointCenter	raw_apmd_hybrid_rms	center_consistency_f1	2026-09-03/NUDT-MIRSDT-Noise8.0_FJY__2026-09-03_15-47-01__CenterConsistencyF1-pointcenter_seed49_E32
brtd3_raw_apmd	DeepPro-Plus_BRTD3	raw_apmd	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_10-23-03__F1OHEM-brtd3_raw_apmd_seed49_E32
brtd3_raw_apmd_rms	DeepPro-Plus_BRTD3	raw_apmd_rms	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_09-55-33__F1OHEM-brtd3_raw_apmd_rms_seed49_E32
brtd3_raw_apmd_channel_rms	DeepPro-Plus_BRTD3	raw_apmd_channel_rms	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_09-55-33__F1OHEM-brtd3_raw_apmd_channel_rms_seed49_E32
brtd3_raw_apmd_motion_detrend	DeepPro-Plus_BRTD3	raw_apmd_motion_detrend	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_10-50-14__F1OHEM-brtd3_raw_apmd_motion_detrend_seed49_E32
brtd3_raw_apmd_multiscale_contrast	DeepPro-Plus_BRTD3	raw_apmd_multiscale_contrast	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_10-24-06__F1OHEM-brtd3_raw_apmd_multiscale_contrast_seed49_E32
brtd3_raw_apmd_hybrid_rms	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_10-23-29__F1OHEM-brtd3_raw_apmd_hybrid_rms_seed49_E32
brtd3_raw_apmd_hybrid_rms_scratch_init	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_scratch_init	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_11-22-52__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_init_seed49_E32
brtd3_raw_apmd_hybrid_rms_scratch_bandpass	DeepPro-Plus_BRTD3	raw_apmd_hybrid_rms_scratch_bandpass	f1_calibrated_ohem	2026-09-04/NUDT-MIRSDT-Noise8.0_FJY__2026-09-04_10-53-20__F1OHEM-brtd3_raw_apmd_hybrid_rms_scratch_bandpass_seed49_E32
